Formula,Volume,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,ave:density,ave:dipole_polarizability,ave:electron_negativity,ave:electron_affinity,ave:en_allen,ave:en_ghosh,ave:en_pauling,ave:first_ion_en,ave:fusion_enthalpy,ave:gs_bandgap,ave:gs_energy,ave:specific_heat,ave:thermal_conductivity,ave:vdw_radius,ave:vdw_radius_alvarez,ave:vdw_radius_mm3,ave:vdw_radius_uff,ave:sound_velocity
BaF3Li,66.38274985,155.8141685,200.4,20.68,40.2524419,656.636,32.1993637,1.4716,88.62,2.762,2.19324762,17.0006,0.25942012,2.762,12.5743566,2.177,1.182,-1.777518409,1.482507505,20.61662,178.2,190.6,215,324.92,3220.14953
CrO3Sr,56.73059182,156.7208522,205,16.586,37.52262,974.514,92.15971934,2.6334,56.024,2.586,1.0194681,15.909,0.2327077,2.586,10.663102,5.818,0,-5.091781171,0.805311982,25.815948,182.2,195.8,214.2,343.28,2279.34641
Cd2Cl6Cs2,150.6649137,172.6122904,221,27.84,70.3338904,541.08,9.38,3.0406,105.088,2.392,2.772046711,12.7606,0.21920562,2.392,10.358123,3.58,1.4958,-1.40402039,0.538874576,26.60534,217.2,228.6,243,384.12,1021.055594
O6Pb2Zr2,75.17971112,154.7208522,206,14.88,69.2842,1386.714,89.3675882,4.2606,36.764,2.796,1.033216732,16.5716,0.24330494,2.69,10.980936,5.2868,0,-5.289072776,0.735511982,11.615948,176.2,192.4,214.8,358.42,1202.5
Cl3CuK,114.4884087,161.0122904,213.8,21.7,41.79886,920.56,29.28,2.8992,82.378,2.44,2.514929,13.242,0.20815404,2.44,10.19398666,5.107,1.4958,-2.02629916,0.671874576,100.00534,199.2,211.4,231.2,382.96,1237.6
Na2O6Ta2,62.90725101,155.5208522,199.2,15.32,50.38692986,1424.934,86.92362451,4.2144,53.284,2.55,1.0506533,15.43,0.248304,2.55,10.7085592,7.966,0,-5.476403328,0.919911982,39.415948,181,190.6,211.8,333.06,1510.5
Cl9Cs3Ge3,168.5536482,169.2122904,220.2,27.94,62.3770904,954.08,20.28758774,2.3752,103.044,2.456,2.5085026,13.3216,0.22704214,2.456,10.139245,9.726,1.5724,-2.164793454,0.556874576,19.20534,215.8,224.6,241.8,412.76,1639.055594
Br3CsIn,191.2036607,181.1331849,230.4,31.24,97.4870904,860.06,17.29858577,3.7086,107.02,2.29,2.17247812,12.2662,0.20844318,2.29,9.024333,4.2472,0.8742,-1.654100887,0.782544312,23.672,218.2,229.8,254.8,430.94,2159.023128
Ca2F6K2,89.98190321,166.8141685,198.6,25.3,27.2343019,611.806,32.0993637,1.146,94.14,2.752,2.14591782,16.9706,0.2493861,2.752,12.54444466,2.328,1.182,-1.62801043,1.027507505,60.01662,189.4,194.6,220.6,346.06,2858.14953
Br3PdRb,146.5164072,171.5331849,222.4,27.06,86.31996,1073.94,37.64,4.5824,83.24,2.38,2.22773692,12.2438,0.1944974,2.38,9.5910856,6.957,0.8742,-2.170037122,0.808344312,26.072,213.6,218.8,245.6,391.6,2354.567535
Cs2F6Mn2,83.63443183,160.8141685,196,25.738,48.9677411,688.326,52.3993637,2.4814,95.78,2.856,2.649045184,17.7276,0.26456518,2.856,12.719265,3.153,1.182,-2.993874917,0.889907505,8.77662,197.8,206.2,216.2,351.4,3161.605124
Cl3KMn,128.0373015,162.4122904,218.8,21.758,40.0772688,799.56,25.28,2.5492,86.438,2.37,2.781935164,13.118,0.2049766,2.37,10.13551466,4.969,1.4958,-3.094281246,0.690274576,21.56534,201,212.8,230.8,372.28,1553.6
Ca2Cs2I6,241.3589824,183.2437549,246.6,35.4,110.7393724,816.22,8.34,3.6426,134.76,1.954,1.93465728,10.3722,0.18563544,1.954,8.272169,6.782,0.6372,-1.463832656,0.767890962,47.4694,233.6,244.4,266.6,428.32,3170.984556
F3RbZn,73.70978119,157.6141685,190.2,23.28,41.5686019,479.206,42.5793637,2.3978,73.74,2.882,2.601893539,17.5944,0.25863336,2.882,13.1679454,2.0046,1.182,-1.459503563,0.895907505,35.61662,189,199.6,213.4,339.38,2696.14953
K2Nb2O6,67.00355962,163.9208522,199.6,19.62,36.000334,1266.514,80.28362451,2.5746,82.464,2.548,1.1604433,15.352,0.22799856,2.548,10.39073266,6.599,0,-5.092247392,0.851711982,30.815948,189.8,195.8,219.6,349.54,1286.5
Cl6Ge2Tl2,151.3414192,150.0122904,218.8,17.38,76.672,1109.76,28.56758774,4.3706,33.184,2.622,2.4895774,15.07007801,0.23088904,2.658,10.5821028,10.1364,1.5724,-2.448403668,0.534274576,21.20534,186.4,204.4,224.8,409.36,1367.2
Cl6Mg2Rb2,128.4855608,170.0122904,219.6,25.2,43.22456,607.96,10.16,1.59,92.896,2.322,2.687464511,12.5466,0.2035478,2.322,10.1452506,4.054,1.4958,-1.57178172,0.721274576,43.60534,200.2,223.6,237.8,379.52,1304
F3HgTl,95.27186438,146.0141685,192,16.66,92.3934419,522.952,41.6793637,5.744,19.342,3.112,2.561249169,19.49607801,0.2751552,3.128,13.7628188,1.4404,1.182,-1.523393193,0.799507505,10.87662,172,186,205,342.88,2141.14953
F6Hg2Rb2,98.0617082,161.4141685,191.6,24.4,68.6110019,369.152,33.5793637,3.6804,72.762,2.952,2.583033169,17.8034,0.261403,2.932,13.3766056,1.05,1.182,-1.261524692,0.845907505,13.27662,193.4,200.8,218.2,338.22,2237.54953
Cl3PdRb,124.4819623,165.4122904,214.6,24.18,59.64756,1017.96,37.16,3.6464,85.118,2.5,2.377219,12.8978,0.20802452,2.5,10.2833836,5.706,1.4958,-2.290882172,0.565074576,26.00534,207.6,216.4,236.6,377.08,997.6
CsI3In,235.2347832,177.0437549,241.8,32.56,125.6873724,935.42,20.77858577,4.7946,114.7,2.11,1.98974728,11.1082,0.19539906,2.11,8.206809,5.7322,0.6372,-1.607527135,0.684090962,23.8694,226,240.6,263.2,449.6,2651.984556
Cl3CuRb,117.8407976,163.6122904,215,23.82,51.07276,903.36,29.16,3.0344,88.018,2.44,2.511819,13.2094,0.20945332,2.44,10.1612796,5.078,1.4958,-1.999458222,0.593274576,91.60534,204.8,221,234.4,389,1097.6
Cl6Ge2In2,172.8438328,149.0122904,219.6,17.08,58.7596,1234.36,35.80617351,3.4626,36.584,2.654,2.4741774,14.5006,0.22904564,2.654,10.517736,9.9662,1.5724,-2.527228554,0.555474576,28.40534,185.8,203.6,225.8,411.68,1446.6
F6Fe2Tl2,73.10044637,139.8141685,191.4,15.12,63.4440419,1001.606,70.6793637,4.6096,25.346,3.078,2.14631382,19.53607801,0.26920584,3.114,13.2557988,3.7434,1.182,-3.130468953,0.860507505,25.21662,168.2,185.8,199,347.02,2841.74953
NaO3Re,58.76522371,153.1208522,197.4,14.91,51.43875386,1465.334,120.9236245,5.0876,48.684,2.63,1.0162533,15.736,0.25009108,2.63,10.7653492,7.468,0,-5.589528974,0.919511982,37.615948,179.8,189.8,210.6,328.74,1770.5
Br6Cs2Sn2,203.3361364,180.3331849,230.8,31.36,98.2654904,898.06,13.06,3.7086,101.76,2.326,2.33489152,12.4656,0.21120758,2.326,9.335845,5.019,0.8742,-1.912949913,0.780144312,20.672,223,229.6,253.8,429.52,2416.023128
Br6Cs2Pd2,150.5744324,175.3331849,224.2,29.88,95.8074904,1072.06,37.46,4.6506,99.68,2.374,2.22487812,12.188,0.2044027,2.374,9.534441,6.937,0.8742,-2.148295409,0.784544312,21.672,221.6,224.2,249.4,399.66,2530.023128
CsF3In,101.3508525,167.0141685,196.8,27.4,60.9437323,711.926,44.23794947,2.5014,96.16,2.902,2.19503902,17.6182,0.2703543,2.902,12.389733,1.2292,1.182,-1.723122259,0.841307505,23.61662,195.4,205.8,224.2,381.44,2374.605124
CaCl3Cs,163.493525,181.2122904,227.4,31.2,55.8666904,684.88,4.38,1.6206,128.958,2.254,2.2668702,12.1842,0.21220668,2.254,9.781991,4.046,1.4958,-1.631251458,0.623074576,47.20534,219.8,231.2,249.2,395.14,1321.055594
Cd2Cs2F6,94.16246054,164.6141685,195.2,26.88,60.4629323,448.926,36.7993637,2.7694,92.35,2.884,2.645125531,17.4586,0.26758962,2.884,13.031225,1.813,1.182,-1.352196712,0.840907505,26.61662,200.4,207,221.4,349.14,2593.605124
Ag2F6Mg2,62.21586353,141.2141685,190.8,15.12,37.8336819,820.606,57.0793637,3.1124,26.898,3.036,2.723759331,18.6192,0.2604379,3.036,13.498173,4.109,1.182,-1.880369749,0.998707505,118.01662,165,188.4,199.8,325.22,3136.54953
Br3CsSe,173.5436898,175.9331849,226,31.4,90.3176904,581.08,3.12,3.2046,98.528,2.444,2.51661212,13.1756,0.22040374,2.444,9.817539,4.927,1.034,-1.814898877,0.913187774,7.376,217.6,217.6,247.8,425.78,2586.023128
Ag2Br6Rb2,158.7650735,172.9331849,224.4,27.34,86.6096,888.34,21.64,4.2784,87.34,2.326,2.37573692,12.5734,0.19513518,2.326,9.4389516,5.869,0.8742,-1.69556092,0.806944312,97.672,213.8,226.4,246.8,396.58,2260.567535
KMoO3,61.72344219,162.5208522,198.2,19.34,36.60906,1240.514,92.28362451,2.9046,75.764,2.66,1.1265621,15.426,0.22863636,2.66,10.45744866,8.095,0,-5.24280464,0.848311982,47.815948,189.6,193.6,218.8,347.28,1828.5
AgBr3Cs,163.5560662,176.7331849,226.2,30.16,96.0971304,886.46,21.46,4.3466,103.78,2.32,2.37287812,12.5176,0.20504048,2.32,9.382307,5.849,0.8742,-1.673819207,0.783144312,93.272,221.8,231.8,250.6,404.64,2436.023128
F3KNi,67.79890224,152.2141685,188.4,20.64,30.9573819,861.406,64.6993637,2.6164,70.56,2.934,2.37220782,17.974,0.25574508,2.934,12.84977266,4.116,1.182,-2.347609431,0.985507505,38.21662,182.6,190.2,208.8,334.76,3090.14953
F6Pd2Tl2,80.55777248,142.0141685,189.2,15.48,73.5590419,1079.606,72.6793637,5.4388,18.96,3.152,2.22851382,19.28847801,0.27016072,3.188,13.3426988,4.3294,1.182,-2.500926995,0.820707505,23.61662,169.4,180,201.8,346.76,2473.74953
Ba2Bi2O6,86.85815788,166.1208522,211.2,20.46,78.86088,812.714,53.78362451,3.3388,66.744,2.646,1.0940645,16.2382,0.25095612,2.622,10.6702628,3.7772,0,-4.033518475,0.710711982,5.215948,186.2,201.4,223.8,371.46,872.5
Cl6Cs2Pb2,187.4396857,176.8122904,223.2,28.88,89.2910904,736.08,10.18,3.5806,104.578,2.52,2.333308832,13.1556,0.2247065,2.414,10.042685,3.2928,1.4958,-1.967391467,0.524274576,14.20534,214,230.8,247.8,413.1,811.0555938
F3KMg,66.04743166,159.4141685,192.6,22.12,24.0797019,533.006,37.6993637,1.1836,74.518,2.814,2.563653331,17.2772,0.25063252,2.814,12.85105966,2.316,1.182,-1.546798979,1.101907505,52.01662,177.8,192.4,213,338.5,3016.54953
KO3Ta,65.40869502,164.5208522,201,19.64,53.608636,1403.114,86.28362451,4.1914,78.864,2.528,1.0413621,15.27,0.24929912,2.528,10.54887666,7.913,0,-5.443862994,0.826111982,31.415948,190.6,195.2,219.6,349.64,1270.5
Cs3I3O9,107.3098315,171.2687705,200,27.54,61.5613844,335.934,47.52362451,2.05,90.264,2.754,1.58280066,16.3856,0.25749102,2.754,11.039863,2.102,0.2124,-3.326080919,0.892075636,7.305748,199.4,200.4,225.2,390.34,1283.798581
Cl3KMg,125.2802887,167.4122904,218.4,23.08,33.95066,625.16,10.28,1.4548,87.256,2.322,2.690574511,12.5792,0.20224852,2.322,10.17795766,4.083,1.4958,-1.598622658,0.799874576,52.00534,194.6,214,234.6,373.48,1444
Cl6In2Sn2,184.5971359,154.0122904,222.4,17.62,67.9756,1122.36,28.09858577,3.86,37.178,2.644,2.4500484,14.2986,0.2267382,2.644,10.406634,4.0082,1.4958,-2.396230063,0.535474576,29.80534,187,206.2,228.8,413.92,866.6
Ag2Cl6Tl2,132.3141358,151.4122904,217,16.72,83.71964,986.16,29.26,5.406,35.798,2.606,2.503435,14.92007801,0.2224145,2.642,10.5174628,5.0084,1.4958,-2.078274471,0.517274576,95.20534,186.4,209.2,224.6,386.72,807.2
CuF3Tl,70.59248385,140.2141685,189.6,15.12,64.9842419,965.006,64.6793637,4.8268,21.86,3.092,2.36311382,19.60007801,0.27158952,3.128,13.2205948,3.7014,1.182,-2.209503045,0.848907505,89.21662,166.6,184.6,199.6,358.68,2573.74953
HfKO3,73.15017954,168.1208522,202.2,20.18,53.11706,1357.514,68.28362451,3.5226,83.064,2.488,0.9797621,15.05,0.24838032,2.488,10.40397666,6.039,0,-5.064442953,0.827311982,24.615948,190.8,197.2,221.6,349.06,1192.5
Cl6Ge2Rb2,158.6721939,165.4122904,218.4,25.12,52.88956,955.96,20.46758774,2.307,86.604,2.462,2.5113614,13.3774,0.21713684,2.462,10.1958896,9.746,1.5724,-2.186535167,0.580674576,23.60534,207.8,219.2,238,404.7,1463.6
AlLaO3,55.29304498,153.7208522,207.2,14.9,42.7768017,1348.114,66.46362451,2.45918,54.344,2.606,1.0572341,15.47884925,0.245389,2.606,10.4833636,3.514,0,-4.588669004,0.866911982,49.615948,176.6,194.6,212,370.42,1705.5
